Number,Item,Description,Condition,Status,Notes,ImageURL
1909,Hammock,Navy/Blue ENO Underquilt,1,0,,
1910,Hammock,Grey ENO Rainfly,1,0,,
1912,Hammock,Green/Grey ENO double nest,1,0,,
1913,Water Filter,Blue,1,0,,
1913,Water Filter,Water filter with all parts in bag,1,0,,
1914,Headlamp,Black diamond,1,0,,
1915,Sleeping Pad,Yellow/Grey Therm-A-Rest Z Lite,1,0,,
1916,Tent,MSR Hubba Hubba NX 2 person,1,0,,
1917,Hammock,Purple/Pink ENO,1,0,,
1918,Hammock,Atlas XL Straps,1,0,,
1919,Trekking Poles,Black Leki,1,0,,
1920,Hammock,Dark Green ENO Rainfly,1,0,,
1921,Hammock,Yellow/Purple/Blue ENO Double Nest,1,0,,
1922,Sleeping Pad,Yellow/Grey Therm-A-Rest Z Lite,1,0,,
1923,Harness,Blue/Grey Petzl Corax S-M,2,0,,
1924,Harness,Blue/Grey Petzl Corax S-M,1,0,,
1925,Harness,Blue/Grey Petzl Corax S-M,1,0,,
1926,Harness,Blue/Grey Petzl Corax L-XL,1,0,,
1927,Rope Bag,Red Metolius,1,0,,
1928,Tent,MSR Hubba Hubba NX 2 person,1,0,,
1930,Crash Pad,Blue/Orange Organic Crash Pad single fold,1,0,,
1941,Climbing Protection,Gold Black Diamond Ultralight Size 2 W/ color matched Hoodwire,1,0,,
1952,Climbing Protection,Light Purple Black Diamond Camalot Size 5,1,0,,
1953,Climbing Protection,Olive Black Diamond Camalot Size 6,1,0,,
1954,Climbing Protection,Blue Black Diamond Ultralight Size 3 W/ color matched Hoodwire,1,0,,
1955,Climbing Protection,Blue Black Diamond Ultralight Size 3 W/ color matched Hoodwire,1,0,,
1956,Climbing Protection,Red Black Diamond Ultralight Size 1 W/ color matched Hoodwire,1,0,,
1957,Climbing Protection,Red Black Diamond Ultralight Size 1 W/ color matched Hoodwire,3,0,,
1958,Climbing Protection,Green Black Diamond Ultralight Size .75 W/ color matched Hoodwire,1,0,,
1959,Climbing Protection,Green Black Diamond Ultralight Size 0.75 W/ color matched Hoodwire,1,0,,
1960,Climbing Protection,Purple Black Diamond Ultralight Size 0.5 W/ color matched Hoodwire,1,0,,
1961,Climbing Protection,Purple Black Diamond Ultralight Size 0.5 W/ color matching Hoodwire,0,0,,
1962,Locking Carabiner,Grey/Red Petzl Am'D Twist,1,0,,
1963,Locking Carabiner,Grey/Red Petzl Am'D Twist,1,0,,
1964,Locking Carabiner,Grey/Red Petzl Am'D Twist,1,0,,
1965,Locking Carabiner,Grey/Red Petzl Am'D Twist,1,0,,
1966,Locking Carabiner,Grey/Red Petzl Am'D Twist,1,0,,
1967,Locking Carabiner,Grey/Red Petzl Am'D Twist,1,0,,
1968,Locking Carabiner,Grey/Red Petzl Am'D Twist,1,0,,
1979,Chalkbag,Green Arc'Teryx S,0,0,,
